Price,Close,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX,^GSPC,^HSI,^IXIC,^KLSE,^N225,^VIX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,1449.6800537109375,15633.9599609375,3957.2099609375,890.5999755859375,18833.2890625,21.709999084472656,0.0,0.0,0.0,0.0,0.0,0.0,1454.199951171875,15861.169921875,3957.469970703125,898.9500122070312,18845.029296875,23.100000381469727,1432.25,15458.6298828125,3858.219970703125,870.9099731445312,18667.1796875,21.31999969482422,1432.25,15763.259765625,3915.139892578125,870.9099731445312,18667.1796875,22.729999542236328,0.0,0.0,0.0,0.0,0.0,0.0,1030400000.0,0.0,1476970000.0,21829900.0,0.0,0.0
2000-01-14,1465.1500244140625,15542.23046875,4064.27001953125,928.239990234375,18956.55078125,19.65999984741211,0.0,0.0,0.0,0.0,0.0,0.0,1473.0,15863.48046875,4091.949951171875,930.3800048828125,19058.01953125,20.149999618530273,1449.6800537109375,15322.1904296875,4045.719970703125,892.9000244140625,18733.830078125,19.510000228881836,1449.6800537109375,15741.5400390625,4045.719970703125,894.0499877929688,18882.990234375,19.829999923706055,0.0,0.0,0.0,0.0,0.0,0.0,1085900000.0,0.0,1656630000.0,24070500.0,0.0,0.0
2000-01-17,,15574.5595703125,,953.4199829101562,19437.23046875,,,0.0,,0.0,0.0,,,15827.509765625,,979.4099731445312,19442.580078125,,,15474.3896484375,,945.739990234375,19025.619140625,,,15666.0595703125,,945.739990234375,19025.619140625,,,0.0,,0.0,0.0,,,0.0,,37449300.0,0.0,
2000-01-18,1455.1400146484375,15789.2001953125,4130.81005859375,949.6199951171875,19196.5703125,21.5,0.0,0.0,0.0,0.0,0.0,0.0,1465.1500244140625,15801.0703125,4148.0,966.72998046875,19412.470703125,21.6299991607666,1451.300048828125,15508.080078125,4053.2099609375,940.989990234375,19145.169921875,20.969999313354492,1465.1500244140625,15575.6796875,4059.64990234375,954.719970703125,19412.470703125,21.389999389648438,0.0,0.0,0.0,0.0,0.0,0.0,1056700000.0,0.0,1585230000.0,20497100.0,0.0,0.0
2000-01-19,1455.9000244140625,15275.33984375,4151.2900390625,933.3800048828125,18897.75,21.719999313354492,0.0,0.0,0.0,0.0,0.0,0.0,1461.3900146484375,15719.0400390625,4164.64990234375,963.25,19181.869140625,22.15999984741211,1448.6800537109375,15192.2802734375,4084.72998046875,926.47998046875,18897.75,21.440000534057617,1455.1400146484375,15719.0400390625,4116.27001953125,945.719970703125,19181.869140625,22.149999618530273,0.0,0.0,0.0,0.0,0.0,0.0,1087800000.0,0.0,1652210000.0,17780300.0,0.0,0.0
2000-01-20,1445.5699462890625,15215.3095703125,4189.509765625,950.8599853515625,19008.009765625,21.75,0.0,0.0,0.0,0.0,0.0,0.0,1465.7099609375,15347.7001953125,4227.35009765625,958.27001953125,19167.029296875,22.600000381469727,1438.5400390625,15078.0302734375,4143.60986328125,936.72998046875,18921.109375,21.18000030517578,1455.9000244140625,15347.7001953125,4205.06005859375,936.72998046875,18930.259765625,21.309999465942383,0.0,0.0,0.0,0.0,0.0,0.0,1100700000.0,0.0,1851300000.0,23367800.0,0.0,0.0
2000-01-21,1441.3599853515625,15108.41015625,4235.39990234375,953.9600219726562,18878.08984375,20.81999969482422,0.0,0.0,0.0,0.0,0.0,0.0,1453.1800537109375,15120.3603515625,4238.0,961.6099853515625,18994.890625,21.90999984741211,1439.5999755859375,14903.7001953125,4168.2998046875,947.1300048828125,18713.169921875,20.5,1445.5699462890625,15094.900390625,4236.64990234375,951.9500122070312,18994.890625,21.549999237060547,0.0,0.0,0.0,0.0,0.0,0.0,1209800000.0,0.0,1923680000.0,20585200.0,0.0,0.0
2000-01-24,1401.530029296875,15167.5498046875,4096.080078125,954.5,19056.7109375,24.06999969482422,0.0,0.0,0.0,0.0,0.0,0.0,1454.0899658203125,15413.75,4303.14990234375,962.1099853515625,19124.5703125,24.440000534057617,1395.4200439453125,15020.169921875,4095.31005859375,950.6400146484375,18877.130859375,21.43000030517578,1441.3599853515625,15233.7900390625,4290.3798828125,956.489990234375,18878.4609375,21.43000030517578,0.0,0.0,0.0,0.0,0.0,0.0,1115800000.0,0.0,1989050000.0,14637400.0,0.0,0.0
2000-01-25,1410.030029296875,15103.0400390625,4167.41015625,952.0599975585938,18895.529296875,23.020000457763672,0.0,0.0,0.0,0.0,0.0,0.0,1414.260009765625,15150.2197265625,4167.6298828125,952.2899780273438,19131.189453125,24.280000686645508,1388.489990234375,14910.2900390625,4028.510009765625,934.6599731445312,18815.369140625,22.8700008392334,1401.530029296875,15093.5302734375,4124.75,950.0399780273438,19004.390625,23.790000915527344,0.0,0.0,0.0,0.0,0.0,0.0,1073700000.0,0.0,1743630000.0,14445200.0,0.0,0.0
2000-01-26,1404.0899658203125,15427.7197265625,4069.909912109375,940.9500122070312,19111.189453125,23.030000686645508,0.0,0.0,0.0,0.0,0.0,0.0,1412.72998046875,15452.7197265625,4174.72021484375,962.0999755859375,19145.900390625,23.190000534057617,1400.1600341796875,15164.7998046875,4069.909912109375,939.8800048828125,18982.83984375,22.450000762939453,1410.030029296875,15164.7998046875,4174.72021484375,954.469970703125,18982.83984375,22.90999984741211,0.0,0.0,0.0,0.0,0.0,0.0,1117300000.0,0.0,1717000000.0,20825400.0,0.0,0.0
2000-01-27,1398.56005859375,15917.8095703125,4039.56005859375,939.5900268554688,19209.720703125,23.540000915527344,0.0,0.0,0.0,0.0,0.0,0.0,1418.8599853515625,15925.1796875,4140.08984375,950.3599853515625,19238.080078125,24.389999389648438,1370.989990234375,15460.2099609375,3973.590087890625,929.4400024414062,18971.6796875,22.030000686645508,1404.0899658203125,15460.2099609375,4120.5,946.9000244140625,19125.619140625,22.3700008392334,0.0,0.0,0.0,0.0,0.0,0.0,1129500000.0,0.0,1798460000.0,114861600.0,0.0,0.0
2000-01-28,1360.1600341796875,16185.9404296875,3887.070068359375,935.5700073242188,19434.779296875,26.139999389648438,0.0,0.0,0.0,0.0,0.0,0.0,1398.56005859375,16315.740234375,4048.31005859375,945.3499755859375,19595.830078125,26.540000915527344,1356.199951171875,16023.3701171875,3856.22998046875,932.0499877929688,19237.490234375,23.170000076293945,1398.56005859375,16052.0703125,4010.139892578125,942.27001953125,19261.009765625,23.75,0.0,0.0,0.0,0.0,0.0,0.0,1095800000.0,0.0,1616370000.0,121539000.0,0.0,0.0
2000-01-31,1394.4599609375,15532.33984375,3940.35009765625,922.0999755859375,19539.69921875,24.950000762939453,0.0,0.0,0.0,0.0,0.0,0.0,1394.47998046875,15889.0498046875,3940.4599609375,931.5800170898438,19539.69921875,27.43000030517578,1350.1400146484375,15444.8203125,3748.030029296875,914.2100219726562,19224.470703125,24.940000534057617,1360.1600341796875,15889.0498046875,3873.840087890625,930.0999755859375,19375.109375,26.780000686645508,0.0,0.0,0.0,0.0,0.0,0.0,993800000.0,0.0,1507630000.0,99232400.0,0.0,0.0
2000-02-01,1409.280029296875,15653.8603515625,4051.97998046875,,19423.380859375,23.450000762939453,0.0,0.0,0.0,,0.0,0.0,1412.489990234375,15764.400390625,4053.159912109375,,19553.6796875,24.739999771118164,1384.7900390625,15580.4599609375,3911.840087890625,,19266.9609375,23.290000915527344,1394.4599609375,15600.259765625,3961.070068359375,,19536.6796875,24.43000030517578,0.0,0.0,0.0,,0.0,0.0,981000000.0,0.0,1398240000.0,,0.0,0.0
2000-02-02,1409.1199951171875,15789.8203125,4073.9599609375,942.8499755859375,19578.91015625,23.1200008392334,0.0,0.0,0.0,0.0,0.0,0.0,1420.6099853515625,15957.919921875,4125.75,947.9099731445312,19860.259765625,24.739999771118164,1403.489990234375,15747.5595703125,4051.43994140625,928.8900146484375,19522.330078125,22.6200008392334,1409.280029296875,15747.5595703125,4059.030029296875,928.8900146484375,19522.330078125,23.020000457763672,0.0,0.0,0.0,0.0,0.0,0.0,1038600000.0,0.0,1527880000.0,15562000.0,0.0,0.0
2000-02-03,1424.969970703125,15968.1201171875,4210.97998046875,957.6599731445312,19786.419921875,22.010000228881836,0.0,0.0,0.0,0.0,0.0,0.0,1425.780029296875,16010.0302734375,4211.06005859375,957.9600219726562,19878.830078125,23.729999542236328,1398.52001953125,15702.849609375,4085.530029296875,946.5700073242188,19648.349609375,21.93000030517578,1409.1199951171875,15795.58984375,4134.64990234375,946.5700073242188,19648.349609375,22.719999313354492,0.0,0.0,0.0,0.0,0.0,0.0,1146500000.0,0.0,1722330000.0,17051700.0,0.0,0.0
2000-02-04,1424.3699951171875,,4244.14013671875,,19763.130859375,21.540000915527344,0.0,,0.0,,0.0,0.0,1435.9100341796875,,4294.83984375,,20011.91015625,21.770000457763672,1420.6300048828125,,4229.2001953125,,19752.119140625,20.690000534057617,1424.969970703125,,4242.14990234375,,19866.189453125,20.770000457763672,0.0,,0.0,,0.0,0.0,1045100000.0,,1751450000.0,,0.0,0.0
2000-02-07,1424.239990234375,,4321.77001953125,,19945.4296875,22.790000915527344,0.0,,0.0,,0.0,0.0,1427.1500244140625,,4321.9599609375,,19948.599609375,23.270000457763672,1413.3299560546875,,4244.740234375,,19780.560546875,22.790000915527344,1424.3699951171875,,4274.02978515625,,19832.759765625,22.969999313354492,0.0,,0.0,,0.0,0.0,918100000.0,,1625540000.0,,0.0,0.0
2000-02-08,1441.719970703125,16228.73046875,4427.5,979.0499877929688,19868.880859375,21.25,0.0,0.0,0.0,0.0,0.0,0.0,1441.8299560546875,16285.9296875,4428.47998046875,988.3499755859375,19983.439453125,22.079999923706055,1424.239990234375,15940.3095703125,4370.009765625,970.2000122070312,19834.810546875,21.170000076293945,1424.239990234375,16079.8896484375,4370.009765625,970.2000122070312,19955.30078125,21.68000030517578,0.0,0.0,0.0,0.0,0.0,0.0,1047700000.0,0.0,1971180000.0,21562600.0,0.0,0.0
2000-02-09,1411.7099609375,16819.4609375,4363.240234375,991.8499755859375,20007.76953125,22.899999618530273,0.0,0.0,0.0,0.0,0.0,0.0,1444.550048828125,16967.900390625,4460.759765625,998.0800170898438,20046.140625,22.899999618530273,1411.6500244140625,16456.869140625,4362.740234375,983.4000244140625,19925.640625,21.290000915527344,1441.719970703125,16456.869140625,4460.18017578125,983.4000244140625,19930.41015625,21.540000915527344,0.0,0.0,0.0,0.0,0.0,0.0,1050500000.0,0.0,1775590000.0,24477500.0,0.0,0.0
2000-02-10,1416.8299560546875,16845.169921875,4485.6298828125,997.5900268554688,19710.01953125,23.06999969482422,0.0,0.0,0.0,0.0,0.0,0.0,1422.0999755859375,16874.08984375,4485.669921875,1001.8800048828125,19915.560546875,23.549999237060547,1406.4300537109375,16525.560546875,4357.68994140625,983.5999755859375,19710.01953125,22.75,1411.699951171875,16679.7890625,4390.16015625,989.030029296875,19915.529296875,23.360000610351562,0.0,0.0,0.0,0.0,0.0,0.0,1058800000.0,0.0,1813590000.0,21874900.0,0.0,0.0
2000-02-11,1387.1199951171875,17380.30078125,4395.4501953125,999.8099975585938,,24.420000076293945,0.0,0.0,0.0,0.0,,0.0,1416.8299560546875,17653.650390625,4489.7900390625,1009.47998046875,,24.799999237060547,1378.8900146484375,17024.369140625,4360.5400390625,995.2100219726562,,22.81999969482422,1416.8299560546875,17024.369140625,4489.330078125,1006.8300170898438,,22.940000534057617,0.0,0.0,0.0,0.0,,0.0,1025700000.0,0.0,1738590000.0,18792800.0,,0.0
2000-02-14,1389.93994140625,17188.9609375,4418.5498046875,998.2899780273438,19556.4609375,24.3799991607666,0.0,0.0,0.0,0.0,0.0,0.0,1394.9300537109375,17939.26953125,4435.9599609375,1003.530029296875,19748.419921875,24.889999389648438,1380.530029296875,17107.900390625,4355.5400390625,990.9299926757812,19556.4609375,24.270000457763672,1387.1199951171875,17546.470703125,4434.3798828125,1000.2899780273438,19698.5703125,24.670000076293945,0.0,0.0,0.0,0.0,0.0,0.0,927300000.0,0.0,1600850000.0,15913600.0,0.0,0.0
2000-02-15,1402.050048828125,16688.16015625,4420.77001953125,995.52001953125,19367.830078125,22.920000076293945,0.0,0.0,0.0,0.0,0.0,0.0,1407.719970703125,17296.970703125,4440.6201171875,1017.0,19689.16015625,24.75,1376.25,16548.75,4291.10009765625,990.1900024414062,19331.05078125,22.84000015258789,1389.93994140625,17257.369140625,4415.52001953125,1008.47998046875,19587.8203125,24.079999923706055,0.0,0.0,0.0,0.0,0.0,0.0,1092100000.0,0.0,1708930000.0,21559300.0,0.0,0.0
2000-02-16,1387.6700439453125,17043.390625,4427.64990234375,998.77001953125,19599.1796875,23.510000228881836,0.0,0.0,0.0,0.0,0.0,0.0,1404.550048828125,17144.94921875,4477.64013671875,1003.6199951171875,19612.599609375,23.829999923706055,1385.5799560546875,16732.810546875,4413.66015625,984.4099731445312,19300.140625,22.739999771118164,1402.050048828125,16771.099609375,4427.18994140625,1000.8099975585938,19418.560546875,23.200000762939453,0.0,0.0,0.0,0.0,0.0,0.0,1018800000.0,0.0,1782130000.0,122007200.0,0.0,0.0
2000-02-17,1388.260009765625,16981.23046875,4548.919921875,1006.8200073242188,19791.400390625,23.170000076293945,0.0,0.0,0.0,0.0,0.0,0.0,1399.8800048828125,17229.150390625,4553.14013671875,1010.4500122070312,19803.689453125,23.479999542236328,1380.0699462890625,16770.140625,4444.75,995.4600219726562,19518.080078125,22.6299991607666,1387.6700439453125,17075.900390625,4483.009765625,999.1400146484375,19646.369140625,22.899999618530273,0.0,0.0,0.0,0.0,0.0,0.0,1034800000.0,0.0,2008440000.0,182854900.0,0.0,0.0
2000-02-18,1346.0899658203125,16599.16015625,4411.740234375,1013.27001953125,19789.029296875,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1388.5899658203125,17027.94921875,4564.4501953125,1021.2000122070312,19862.939453125,26.3700008392334,1345.3199462890625,16468.94921875,4404.60986328125,1010.47998046875,19670.05078125,23.3700008392334,1388.260009765625,16985.30078125,4563.72021484375,1016.3699951171875,19852.1796875,23.3700008392334,0.0,0.0,0.0,0.0,0.0,0.0,1042300000.0,0.0,1898410000.0,25794200.0,0.0,0.0
2000-02-21,,16322.3701171875,,1007.1300048828125,19543.75,,,0.0,,0.0,0.0,,,16477.099609375,,1012.260009765625,19763.509765625,,,16136.5,,1001.969970703125,19543.75,,,16412.630859375,,1007.8599853515625,19736.150390625,,,0.0,,0.0,0.0,,,0.0,,16267500.0,0.0,
2000-02-22,1352.1700439453125,16255.169921875,4382.1201171875,1000.8300170898438,19390.580078125,25.860000610351562,0.0,0.0,0.0,0.0,0.0,0.0,1358.1099853515625,16442.580078125,4443.93994140625,1010.6799926757812,19712.369140625,28.1200008392334,1331.8800048828125,15776.349609375,4291.009765625,993.25,19353.400390625,25.469999313354492,1346.0899658203125,16294.9404296875,4432.830078125,1009.8300170898438,19553.619140625,25.90999984741211,0.0,0.0,0.0,0.0,0.0,0.0,980000000.0,0.0,1772290000.0,16229100.0,0.0,0.0
2000-02-23,1360.68994140625,16376.7900390625,4550.330078125,1009.2100219726562,19519.55078125,23.889999389648438,0.0,0.0,0.0,0.0,0.0,0.0,1370.1099853515625,16523.650390625,4567.97021484375,1009.9000244140625,19527.7890625,25.3700008392334,1342.43994140625,16297.1298828125,4401.3798828125,1001.9099731445312,19373.0390625,23.559999465942383,1352.1700439453125,16313.9599609375,4406.8798828125,1005.5999755859375,19439.169921875,25.200000762939453,0.0,0.0,0.0,0.0,0.0,0.0,993700000.0,0.0,1892800000.0,24877300.0,0.0,0.0
